CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13638.476950431,12267.0657235222,14187.1371438834,13600.4732732964,12070.4792441502,9862.04532430214,9718.61488043925
13638.3285225753,12265.9297084233,14190.53028592,13599.4726468168,12071.2179610203,9859.47042733724,9720.5121757688
13638.3606318285,12265.0980395795,14194.1556885178,13598.5097077922,12071.9981039992,9857.09299474335,9722.10614615543
13638.3797722343,12264.7058387563,14197.9375766966,13597.5997329821,12072.7993538891,9854.98895826878,9723.42127621114
13638.2617888199,12264.8795191511,14201.7858229814,13596.7298488613,12073.5466475155,9853.09322877847,9724.51482091097
13637.9903190165,12265.6438847391,14205.6106924992,13596.0232441125,12074.2304569976,9851.32763201577,9725.56942110177
13637.4403004783,12266.7866453525,14209.4152729258,13595.5973159701,12074.8821844458,9849.63567581618,9726.52560823456
13636.5674783787,12268.0095050537,14213.1328534959,13595.467842555,12075.5660696051,9847.70635667396,9727.34550588726
13635.5409455932,12269.0341880744,14216.5416891186,13595.5324091479,12076.2682106307,9845.56973840852,9728.03884711779
13634.5381988488,12269.6551344846,14219.4306305599,13595.6310230246,12076.9101862899,9843.10112087912,9728.58154526426
13633.5617600168,12269.8057950493,14221.7009911894,13595.7156492553,12077.487341095,9840.38587004405,9729.04419236417
13632.7090465679,12269.6209707768,14223.3379543782,13595.805759487,12078.0304809208,9837.43344843898,9729.39528645012
